#force	 last_time	 alpha	 product
2.0 10712.360000 9.991964 0.107038 
2.0 14299.440000 14.187929 0.202879 
2.0 13518.400000 14.331108 0.193734 
2.0 12763.000000 12.431546 0.158664 
2.0 15119.080000 14.939710 0.225875 
2.0 10910.200000 9.897661 0.107985 
2.0 17675.280000 20.256369 0.358037 
2.0 13773.000000 14.671275 0.202067 
2.0 16283.480000 17.613541 0.286810 
2.0 17864.200000 20.818462 0.371905 
2.0 15046.320000 15.876436 0.238882 
2.0 15111.040000 16.031569 0.242254 
2.0 20097.680000 24.310514 0.488585 
2.0 13757.800000 14.367295 0.197662 
2.0 16204.640000 18.364161 0.297585 
2.0 10054.040000 8.663817 0.087106 
2.0 16361.600000 17.415764 0.284950 
2.0 3254.040000 2.843889 0.009254 
2.0 14920.520000 15.852496 0.236527 
2.0 11913.000000 11.079938 0.131995 
