#force	 last_time	 alpha	 product
6.0 22613.840000 37.566515 0.849523 
6.0 17995.440000 23.145232 0.416509 
6.0 18678.160000 25.541002 0.477059 
6.0 19585.000000 27.050004 0.529774 
6.0 21752.120000 34.442463 0.749197 
6.0 19156.520000 26.119385 0.500357 
6.0 20804.280000 31.687504 0.659236 
6.0 16405.040000 19.877278 0.326088 
6.0 18844.680000 25.387217 0.478414 
6.0 20724.000000 30.946900 0.641344 
6.0 13405.960000 14.190901 0.190243 
6.0 20599.000000 30.360331 0.625392 
6.0 11538.880000 10.839365 0.125074 
6.0 12830.440000 13.377121 0.171634 
6.0 10283.840000 9.410288 0.096774 
6.0 20490.800000 30.038480 0.615512 
6.0 17346.840000 22.457623 0.389569 
6.0 22200.520000 35.738823 0.793420 
6.0 18910.760000 26.657807 0.504119 
6.0 17465.520000 23.454225 0.409640 
