#force	 last_time	 alpha	 product
7.2 2226.320000 44.168287 0.098333 
7.2 2527.720000 60.238195 0.152265 
7.2 3449.800000 137.689539 0.475001 
7.2 1941.600000 30.177025 0.058592 
7.2 1632.400000 23.220798 0.037906 
7.2 1884.440000 29.802486 0.056161 
7.2 2715.840000 70.321479 0.190982 
7.2 1982.240000 36.081499 0.071522 
7.2 2199.000000 39.831165 0.087589 
7.2 2119.720000 39.427684 0.083576 
7.2 2365.640000 48.073736 0.113725 
7.2 2045.640000 35.228290 0.072064 
7.2 2868.640000 84.437772 0.242222 
7.2 2228.680000 42.124646 0.093882 
7.2 2114.760000 37.691477 0.079708 
7.2 2394.120000 50.744227 0.121488 
7.2 2306.960000 43.259372 0.099798 
7.2 2694.240000 69.095703 0.186160 
7.2 1839.920000 28.283720 0.052040 
7.2 2410.760000 54.846769 0.132222 
