#force	 last_time	 alpha	 product
8.0 16313.360000 20.194113 0.329434 
8.0 15631.200000 18.780369 0.293560 
8.0 13313.720000 14.241613 0.189609 
8.0 17587.280000 23.696323 0.416754 
8.0 13908.240000 15.525738 0.215936 
8.0 14402.880000 16.703573 0.240580 
8.0 15135.040000 18.376653 0.278131 
8.0 16748.560000 20.402588 0.341714 
8.0 15426.800000 18.793392 0.289922 
8.0 11830.320000 11.802843 0.139631 
8.0 16128.440000 20.708862 0.334002 
8.0 16551.680000 20.806086 0.344376 
8.0 15516.000000 19.702645 0.305706 
8.0 19618.480000 27.445462 0.538438 
8.0 7358.200000 6.394629 0.047053 
8.0 10450.760000 9.731090 0.101697 
8.0 15805.720000 19.348245 0.305813 
8.0 16700.160000 20.422401 0.341057 
8.0 11428.120000 10.666061 0.121893 
8.0 12825.080000 13.867570 0.177853 
