#forces	rates	rates_bootstrap	bars
0.000000	3.433795	3.547108	0.672434
0.661824	5.722960	5.921712	1.115827
1.323648	5.205673	5.388150	1.027746
1.985472	4.274309	4.427852	0.835919
2.647296	2.833813	2.933187	0.558688
3.309120	3.425960	3.544763	0.675597
3.970944	2.607200	2.702198	0.505528
4.632768	1.848135	1.913491	0.363559
5.294592	1.686135	1.741611	0.326314
5.956416	1.601340	1.660543	0.314161
6.618241	1.539861	1.588083	0.302164
7.280065	2.083316	2.155762	0.411534
7.941889	1.431196	1.480788	0.284598
8.603713	1.639092	1.697106	0.316367
9.265537	1.386879	1.437477	0.272200
9.927361	1.631601	1.683333	0.319962
10.589185	1.840488	1.900855	0.356612
11.251009	2.116725	2.189424	0.410282
11.912833	1.970389	2.041779	0.385642
12.574657	2.638766	2.731146	0.514296
13.236481	2.752179	2.853910	0.541812
