#forces	rates	rates_bootstrap	bars
0.000000	3.671515	3.857073	0.918484
0.661824	5.833455	6.134334	1.436945
1.323648	5.964582	6.274198	1.475548
1.985472	4.522872	4.761594	1.129365
2.647296	2.846296	2.994908	0.710042
3.309120	2.787018	2.929555	0.681237
3.970944	2.442781	2.566509	0.600786
4.632768	2.063284	2.175680	0.516932
5.294592	1.742068	1.827949	0.432798
5.956416	1.776660	1.866628	0.437379
6.618241	1.729605	1.817531	0.425389
7.280065	1.711726	1.807637	0.421865
7.941889	1.716864	1.804628	0.423682
8.603713	1.631685	1.721180	0.410461
9.265537	1.580836	1.664377	0.391808
9.927361	1.593417	1.681644	0.396014
10.589185	1.707921	1.799880	0.424477
11.251009	2.316741	2.439166	0.574205
11.912833	2.187172	2.303101	0.545183
12.574657	2.846841	2.993801	0.700547
13.236481	2.867875	3.019233	0.703699
