#forces	rates	rates_bootstrap	bars
0.000000	16.578166	17.433506	4.087540
0.661824	18.568807	19.440625	4.574614
1.323648	17.952886	18.900506	4.440288
1.985472	11.140058	11.749900	2.768919
2.647296	9.647026	10.147609	2.387091
3.309120	10.467655	11.042148	2.617388
3.970944	5.901430	6.222623	1.469259
4.632768	6.067120	6.385868	1.513632
5.294592	5.416944	5.701304	1.353849
5.956416	5.491952	5.769903	1.364322
6.618241	5.087163	5.357957	1.237660
7.280065	4.950026	5.201223	1.221299
7.941889	4.421508	4.657216	1.079056
8.603713	5.205922	5.473701	1.300726
9.265537	4.244970	4.465480	1.046541
9.927361	4.306538	4.541878	1.058302
10.589185	6.257577	6.581883	1.544910
11.251009	5.943841	6.265690	1.459769
11.912833	6.630052	6.955194	1.622931
12.574657	7.818746	8.250831	1.976146
13.236481	11.096369	11.678161	2.761464
