#forces	taus	taus_bootstrap	bars
0.000000	0.291223	0.291746	0.053585
0.661824	0.174735	0.174647	0.031675
1.323648	0.192098	0.192083	0.035268
1.985472	0.233956	0.233598	0.042511
2.647296	0.352881	0.352854	0.064849
3.309120	0.291889	0.291955	0.053619
3.970944	0.383553	0.382563	0.069066
4.632768	0.541086	0.540694	0.098727
5.294592	0.593072	0.593704	0.107865
5.956416	0.624477	0.623018	0.113828
6.618241	0.649409	0.651673	0.119637
7.280065	0.480004	0.480087	0.088029
7.941889	0.698716	0.699315	0.129326
8.603713	0.610094	0.609106	0.110065
9.265537	0.721044	0.719815	0.132075
9.927361	0.612895	0.614636	0.112138
10.589185	0.543334	0.544084	0.099208
11.251009	0.472428	0.472248	0.085644
11.912833	0.507514	0.506834	0.093438
12.574657	0.378965	0.378692	0.068978
13.236481	0.363348	0.362628	0.066718
