#Force (pN)	E_barrier	d_x+minimum	minimum
50.0	14.672754546	14.478666666666665	8.225333333
48.0	14.427577543	14.568	8.225333333
46.0	13.958208841	13.808666666666667	8.27
44.0	14.529388137	13.898	8.225333333
42.0	15.130707386	13.451333333333334	8.225333333
40.0	17.252072	13.942666666666668	8.225333333
38.0	15.172790044	15.193333333333333	8.225333333
36.0	16.171929414	14.746666666666666	8.225333333
34.0	16.568233601	14.702	8.225333333
32.0	16.861256655	14.434	8.225333333
30.0	15.917847733	13.987333333333332	8.225333333
28.0	15.668565033	15.104	8.225333333
26.0	16.73754229	14.657333333333334	8.225333333
24.0	15.624496907	15.014666666666667	8.225333333
22.0	16.512039981	14.657333333333334	8.225333333
20.0	18.689522067	15.327333333333332	8.225333333
18.0	17.839540737	14.925333333333333	8.225333333
16.0	17.836669317	15.148666666666667	8.225333333
14.0	17.382866813	14.121333333333332	8.225333333
12.0	18.53931788	14.791333333333334	8.180666667
10.0	18.738202657	14.969999999999999	8.225333333
8.0	19.209407788	15.506	8.225333333
6.0	18.822596379	15.282666666666668	8.225333333
4.0	18.123991518	15.104	8.225333333
2.0	18.977695355	14.523333333333333	8.225333333
-0.0	19.097128565	15.059333333333333	8.225333333
