#force	 avg_tau
50.000000	1.019192
48.000000	1.031179
46.000000	5.584075
44.000000	4.697357
42.000000	5.474555
40.000000	5.944565
38.000000	4.467807
36.000000	10.670504
34.000000	7.692461
32.000000	15.116274
30.000000	31.503717
28.000000	51.532839
26.000000	34.124342
24.000000	61.139434
22.000000	19.070122
20.000000	303.819343
18.000000	89.609460
16.000000	601.514080
14.000000	211.789230
12.000000	177.070793
10.000000	805.989892
8.000000	1023.590816
6.000000	11796.298365
4.000000	1596.803938
2.000000	1526.683197
-0.000000	3455.518874
