#force	 p-value
50.000000	0.662276
48.000000	0.462468
46.000000	0.356791
44.000000	0.151432
42.000000	0.372942
40.000000	0.263028
38.000000	0.378700
36.000000	0.105359
34.000000	0.417296
32.000000	0.063440
30.000000	0.046390
28.000000	0.100503
26.000000	0.372076
24.000000	0.474239
22.000000	0.474164
20.000000	0.101575
18.000000	0.498494
16.000000	0.127878
14.000000	0.837207
12.000000	0.191193
10.000000	0.101576
8.000000	0.165350
6.000000	0.341712
4.000000	0.097206
2.000000	0.407327
-0.000000	0.099343
