#force pN 	 last_time fs 	 accelration factor 
0.000000	 11769000.000000	 204118658413.330780 
0.000000	 12400400.000000	 115875325935.577957 
0.000000	 12946000.000000	 179249036319.496765 
0.000000	 7142200.000000	 1765867921.023028 
0.000000	 12119000.000000	 186087205895.198364 
0.000000	 10876200.000000	 28190929347.758900 
0.000000	 9291400.000000	 5641099127.873323 
0.000000	 10894000.000000	 21449920664.618732 
0.000000	 14877400.000000	 3013032938480.175293 
0.000000	 11575000.000000	 107076528940.903687 
0.000000	 12663800.000000	 229878390113.656616 
0.000000	 9920600.000000	 21095949505.883919 
0.000000	 11250000.000000	 99964668222.365189 
0.000000	 9371600.000000	 8227615626.392876 
0.000000	 11526000.000000	 91246690872.497360 
0.000000	 11390400.000000	 54184612972.117508 
0.000000	 10329800.000000	 34373387964.000298 
0.000000	 13566800.000000	 647250762066.427368 
0.000000	 11156000.000000	 56315575852.782402 
0.000000	 12141400.000000	 406175829891.617004 
