#forces	taus	taus_bootstrap	bars
50.000000	0.216118	0.216219	0.048618
48.000000	0.586451	0.586928	0.130643
46.000000	1.469615	1.475449	0.334390
44.000000	0.610454	0.612569	0.136704
42.000000	1.357670	1.356810	0.306829
40.000000	1.095081	1.094742	0.243981
38.000000	2.092733	2.095567	0.466992
36.000000	3.190279	3.185552	0.705903
34.000000	2.250440	2.249783	0.497103
32.000000	7.873788	7.863498	1.764285
30.000000	9.998943	10.029141	2.232272
28.000000	16.581748	16.592547	3.661059
26.000000	13.627749	13.630813	3.038642
24.000000	8.722194	8.711747	1.951349
22.000000	38.032463	38.138834	8.501465
20.000000	43.471339	43.378172	9.712390
18.000000	62.974142	63.048221	14.037894
16.000000	54.263145	54.318587	12.094663
14.000000	75.076707	74.960870	16.806000
12.000000	96.768184	97.125031	22.002935
10.000000	254.312339	254.921517	57.212607
8.000000	457.125758	455.732016	103.303848
6.000000	376.278263	377.168742	84.335966
4.000000	323.950980	324.309687	72.912229
2.000000	1357.435205	1359.953968	303.882500
-0.000000	1390.901140	1390.594383	311.990175
