#force pN 	 last_time fs 	 accelration factor 
-36.000000	 7716000.000000	 84285492.220545 
-36.000000	 9765800.000000	 315133591.723723 
-36.000000	 9516200.000000	 553486670.651974 
-36.000000	 8654200.000000	 346306131.705130 
-36.000000	 10253200.000000	 1647412404.748417 
-36.000000	 8073200.000000	 211088249.080741 
-36.000000	 7383600.000000	 42621142.567460 
-36.000000	 9439600.000000	 174121594.218896 
-36.000000	 12613600.000000	 5673607048.931715 
-36.000000	 6894400.000000	 29152950.779838 
-36.000000	 10085400.000000	 392315566.402161 
-36.000000	 7925400.000000	 107802115.004256 
-36.000000	 9815400.000000	 1235260677.538208 
-36.000000	 11155000.000000	 2520504715.287148 
-36.000000	 11583800.000000	 2479878564.649860 
-36.000000	 9009800.000000	 123173035.614393 
-36.000000	 6458800.000000	 28266174.402720 
-36.000000	 5476200.000000	 5740994.952632 
-36.000000	 7733400.000000	 71185481.608557 
-36.000000	 7242200.000000	 24200107.205899 
