#forces	rates	rates_bootstrap	bars
48.000000	1.514736	1.589458	0.378139
44.000000	2.042155	2.147317	0.504907
40.000000	0.582519	0.612824	0.143032
36.000000	0.358673	0.375368	0.088445
32.000000	0.128464	0.134781	0.031673
28.000000	0.197593	0.207864	0.048578
24.000000	0.030285	0.031835	0.007540
20.000000	0.035022	0.036920	0.008786
16.000000	0.030076	0.031684	0.007368
12.000000	0.011000	0.011591	0.002759
8.000000	0.003515	0.003711	0.000875
4.000000	0.000484	0.000510	0.000119
-0.000000	0.000841	0.000885	0.000206
