#forces	rates	rates_bootstrap	bars
50.000000	3.203950	3.362589	0.792588
48.000000	1.355750	1.425172	0.337605
46.000000	0.689554	0.725393	0.173401
44.000000	0.563360	0.593612	0.140752
42.000000	0.480369	0.506995	0.120052
40.000000	0.389185	0.409555	0.097152
38.000000	0.731249	0.768252	0.180792
36.000000	0.190428	0.200121	0.047467
34.000000	0.239512	0.252841	0.059326
32.000000	0.177465	0.187454	0.044709
30.000000	0.107292	0.113127	0.026745
28.000000	0.060164	0.063196	0.014989
26.000000	0.043188	0.045611	0.010763
24.000000	0.082387	0.086804	0.020257
22.000000	0.083718	0.088520	0.021461
20.000000	0.015100	0.015891	0.003813
18.000000	0.019575	0.020596	0.004731
16.000000	0.005688	0.005963	0.001383
14.000000	0.007526	0.007893	0.001831
12.000000	0.012760	0.013466	0.003185
10.000000	0.007276	0.007666	0.001802
8.000000	0.001890	0.001995	0.000467
6.000000	0.003491	0.003678	0.000865
4.000000	0.001587	0.001668	0.000391
2.000000	0.001457	0.001537	0.000370
-0.000000	0.000686	0.000723	0.000169
