#forces	taus	taus_bootstrap	bars
50.000000	0.312115	0.313058	0.069898
48.000000	0.737599	0.738745	0.165059
46.000000	1.450214	1.452387	0.325946
44.000000	1.775064	1.772827	0.392596
42.000000	2.081734	2.075501	0.459612
40.000000	2.569475	2.573182	0.585656
38.000000	1.367524	1.369976	0.305990
36.000000	5.251326	5.260518	1.173686
34.000000	4.175160	4.162856	0.932355
32.000000	5.634914	5.623367	1.274918
30.000000	9.320398	9.308945	2.097560
28.000000	16.621166	16.665020	3.733789
26.000000	23.154803	23.080596	5.175806
24.000000	12.137878	12.119004	2.701771
22.000000	11.944906	11.912223	2.687420
20.000000	66.223794	66.339782	14.977728
18.000000	51.086456	51.007470	11.244837
16.000000	175.796835	176.251184	38.756365
14.000000	132.874903	133.242294	29.612132
12.000000	78.368811	78.191954	17.577990
10.000000	137.438522	137.290286	30.627116
8.000000	529.015221	527.624582	118.309285
6.000000	286.448841	286.174473	64.141401
4.000000	630.051828	631.175049	141.182249
2.000000	686.421730	686.260759	156.540467
-0.000000	1457.617138	1455.122991	323.336133
