#force lastTime lastAccelaration 
-50.0 1542200.073251 17511.925546 
-50.0 3480800.165329 6579234.068828 
-50.0 3271200.155374 7595505.773020 
-50.0 3956000.187900 136508816.313925 
-50.0 3835800.182191 16430632.580818 
-50.0 3801800.180576 45942108.584393 
-50.0 4148200.197029 19313410.137225 
-50.0 5065200.240584 1101230160.100151 
-50.0 4532800.215296 112755434.528812 
-50.0 4021000.190987 80662361.742550 
-50.0 4120800.195727 55310154.953207 
-50.0 4224600.200658 127044606.508236 
-50.0 3802400.180604 24133749.194905 
-50.0 3670400.174335 22883997.585431 
-50.0 4049800.192355 77987732.919111 
-50.0 4587200.217880 481397550.156344 
-50.0 4422400.210053 184407637.964613 
-50.0 3229600.153398 4700918.456970 
-50.0 4143800.196820 43861353.906890 
-50.0 5469000.259764 1570285541.487852 
-48.0 3716600.176529 67268400.140757 
-48.0 5408600.256895 711858633.566545 
-48.0 3328400.158091 4058436.561576 
-48.0 3933400.186826 50155097.536553 
-48.0 4384200.208238 473759578.757682 
-48.0 5092800.241895 790629840.206062 
-48.0 4666800.221661 253166473.197252 
-48.0 3600200.171000 45236112.903549 
-48.0 4756000.225898 160859292.780527 
-48.0 4190800.199052 250895948.638149 
-48.0 3848200.182780 76162588.354029 
-48.0 3268800.155260 7462079.609063 
-48.0 2695800.128044 1109011.672815 
-48.0 4188800.198957 61528769.364276 
-48.0 5277800.250682 367549952.092909 
-48.0 4604600.218707 263374952.035499 
-48.0 3248200.154281 19922294.497924 
-48.0 5214000.247652 186676382.366814 
-48.0 3308400.157141 12391343.971100 
-48.0 4683600.222459 477916541.282955 
-46.0 4506000.214024 262621423.555675 
-46.0 4664000.221528 397685368.794920 
-46.0 4622800.219571 209048915.201782 
-46.0 4094600.194483 82469859.634308 
-46.0 5423000.257579 1939125105.685542 
-46.0 6376000.302844 7774074268.392252 
-46.0 4725000.224425 650507608.823208 
-46.0 4552000.216208 114759460.138033 
-46.0 4105600.195006 170306735.977200 
-46.0 4077400.193666 73125392.314555 
-46.0 5867000.278668 3066326953.540825 
-46.0 3922600.186314 28137429.565417 
-46.0 5221000.247984 701493780.996533 
-46.0 4305000.204477 186991899.232661 
-46.0 4059400.192811 19220064.104151 
-46.0 5368800.255004 3431991990.458666 
-46.0 4178600.198473 124902640.648177 
-46.0 4404200.209188 195975674.430619 
-46.0 3347000.158974 28292982.837878 
-46.0 3921800.186276 28311226.527122 
-44.0 4509000.214166 71954115.511498 
-44.0 3935400.186921 29581359.721128 
-44.0 5140800.244175 653581726.096689 
-44.0 5485800.260562 2141881678.164715 
-44.0 3740400.177659 30487955.205895 
-44.0 5033600.239083 576270342.014906 
-44.0 5072200.240917 601745534.072738 
-44.0 3664600.174059 46195304.606130 
-44.0 4586200.217833 241404968.115319 
-44.0 5218000.247842 2015490848.261751 
-44.0 4078000.193695 94219332.934660 
-44.0 5366800.254909 2361377712.831381 
-44.0 3044800.144620 2774525.603065 
-44.0 3295400.156523 12301298.221181 
-44.0 5818200.276350 5872650872.747819 
-44.0 4776200.226857 205580262.098638 
-44.0 4396400.208818 270604078.561324 
-44.0 5467600.259697 1748169509.241678 
-44.0 3857400.183217 44060133.948186 
-44.0 4876400.231617 279285847.842797 
-42.0 5997600.284871 1641343521.761336 
-42.0 4625200.219685 342548194.388564 
-42.0 4733200.224815 324269602.282224 
-42.0 4486600.213102 282891899.563509 
-42.0 6323000.300326 8691037162.579531 
-42.0 5649800.268351 2160236161.469196 
-42.0 4692000.222858 528798801.510267 
-42.0 4735400.224919 263454634.207701 
-42.0 3349800.159107 6705970.401610 
-42.0 5436600.258225 846105588.141177 
-42.0 3743400.177802 62322667.419038 
-42.0 5584000.265226 1667700218.766228 
-42.0 4932400.234276 348447503.000924 
-42.0 3130200.148677 2104462.226166 
-42.0 3351200.159173 16528876.293723 
-42.0 5307800.252107 1148648611.649063 
