#Force (pN)	E_barrier	d_x+minimum	minimum
50.0	16.745359039	12.9204	8.2392
48.0	16.863160658	12.9016	8.2204
46.0	16.198993084	13.0144	8.2392
44.0	17.950193988	12.9392	8.2204
42.0	16.718350217	12.9016	8.2392
40.0	17.48311514	13.0332	8.2204
38.0	18.467572025	12.9956	8.2392
36.0	18.891975133	12.8828	8.2204
34.0	18.768506061	12.9204	8.2204
32.0	18.039558277	12.8264	8.2204
30.0	18.984022006	13.0144	8.2204
28.0	18.844367535	12.958	8.2204
26.0	17.750180582	12.8264	8.2204
24.0	19.163339367	13.052	8.2204
22.0	19.807808461	12.9768	8.2204
20.0	18.566777244	13.0332	8.2204
18.0	19.80190904	13.0144	8.2204
16.0	18.31885328	13.2024	8.2204
14.0	19.900023501	12.958	8.2204
12.0	20.231400691	13.1836	8.2204
10.0	18.898259796	12.9016	8.2204
8.0	19.100684752	13.0896	8.2204
6.0	20.081060405	13.0708	8.2204
4.0	19.666534912	12.9768	8.2204
2.0	19.951280964	13.0708	8.2204
-0.0	20.744408852	12.9204	8.2204
