#forces	rates	rates_bootstrap	bars
50.000000	0.063577	0.066935	0.015726
48.000000	0.028313	0.029861	0.007021
46.000000	0.009749	0.010241	0.002413
44.000000	0.010636	0.011200	0.002649
42.000000	0.005706	0.005997	0.001396
40.000000	0.014320	0.015055	0.003534
38.000000	0.006651	0.006971	0.001633
36.000000	0.002968	0.003126	0.000745
34.000000	0.003157	0.003329	0.000793
32.000000	0.001414	0.001498	0.000358
30.000000	0.007299	0.007718	0.001838
28.000000	0.003271	0.003445	0.000806
26.000000	0.000905	0.000952	0.000225
24.000000	0.001533	0.001611	0.000373
22.000000	0.001910	0.002012	0.000476
20.000000	0.001634	0.001719	0.000406
18.000000	0.004482	0.004704	0.001110
16.000000	0.000756	0.000796	0.000188
14.000000	0.001897	0.001997	0.000468
12.000000	0.000509	0.000535	0.000126
10.000000	0.000136	0.000143	0.000034
8.000000	0.000229	0.000241	0.000057
6.000000	0.000145	0.000153	0.000036
4.000000	0.000187	0.000197	0.000046
2.000000	0.000139	0.000147	0.000035
-0.000000	0.000243	0.000255	0.000060
