#forces	taus	taus_bootstrap	bars
50.000000	15.728918	15.725326	3.519309
48.000000	35.319552	35.255914	7.915103
46.000000	102.577155	102.759052	22.859547
44.000000	94.022856	93.971663	20.941838
42.000000	175.255905	175.376081	38.991745
40.000000	69.832165	69.901278	15.599409
38.000000	150.345843	150.879820	33.401835
36.000000	336.889258	337.083502	76.323127
34.000000	316.736300	316.383053	71.168102
32.000000	707.386299	703.002918	157.330549
30.000000	136.997858	136.501092	30.660463
28.000000	305.744499	305.318049	67.826776
26.000000	1104.896874	1105.555112	247.796916
24.000000	652.511096	652.829075	145.306811
22.000000	523.505647	523.209272	116.976757
20.000000	611.870160	612.848748	138.020256
18.000000	223.102319	223.846916	50.326529
16.000000	1323.166305	1322.398307	297.019693
14.000000	527.270933	526.766991	116.746237
12.000000	1965.211612	1966.076333	435.722941
10.000000	7346.625993	7346.521462	1636.447517
8.000000	4373.095737	4369.443327	975.366380
6.000000	6898.716726	6886.744309	1532.996585
4.000000	5346.638343	5328.146906	1179.999982
2.000000	7186.588356	7187.189509	1618.547263
-0.000000	4117.959420	4121.634399	921.108376
