#rc	 FE
4.800000	 14.506241
5.388272	 10.709552
5.976545	 9.532686
6.564817	 7.331460
7.153089	 6.874984
7.741362	 7.771863
8.329634	 8.408736
8.917906	 7.737099
9.506179	 7.236333
10.094451	 7.182238
10.682723	 6.699149
11.270996	 5.711421
11.859268	 5.054592
12.447540	 4.801573
13.035813	 4.662554
13.624085	 4.606769
14.212357	 4.813047
14.800630	 5.200513
15.388902	 5.396675
15.977174	 5.564642
16.565447	 5.687405
17.153719	 6.063865
17.741991	 6.059189
18.330264	 6.053380
18.918536	 6.442358
19.506808	 6.636986
20.095080	 6.511634
20.683353	 6.250450
21.271625	 5.848121
21.859897	 5.416196
22.448170	 5.009533
23.036442	 4.593431
23.624714	 4.164525
24.212987	 3.780585
24.801259	 3.378048
25.389531	 3.047643
25.977804	 2.961240
26.566076	 3.055967
27.154348	 2.951335
27.742621	 2.614629
28.330893	 2.106806
28.919165	 1.525877
29.507438	 0.969730
30.095710	 0.603268
30.683982	 0.432708
31.272255	 0.668189
31.860527	 1.160538
32.448799	 2.033174
33.037072	 4.848585
