#rc	 FE
4.850000	 8.449058
5.417585	 5.941673
5.985171	 2.443413
6.552756	 0.276941
7.120341	 0.033700
7.687927	 1.207804
8.255512	 2.340613
8.823097	 2.770378
9.390683	 3.180743
9.958268	 4.085367
10.525853	 4.704112
11.093439	 4.964476
11.661024	 5.364320
12.228609	 5.827942
12.796195	 5.600706
13.363780	 5.246807
13.931365	 5.198597
14.498951	 5.143650
15.066536	 5.059155
15.634121	 5.036429
16.201707	 4.987582
16.769292	 5.102502
17.336877	 5.418852
17.904463	 5.823408
18.472048	 6.195066
19.039633	 6.326733
19.607218	 6.262329
20.174804	 6.139068
20.742389	 6.025860
21.309974	 5.949235
21.877560	 5.831786
22.445145	 5.825183
23.012730	 5.959767
23.580316	 6.187172
24.147901	 6.366570
24.715486	 6.485460
25.283072	 6.549423
25.850657	 6.528115
26.418242	 6.500997
26.985828	 6.180694
27.553413	 5.728758
28.120998	 5.368774
28.688584	 5.041085
29.256169	 4.772936
29.823754	 4.577397
30.391340	 4.597344
30.958925	 4.915069
31.526510	 5.517800
32.094096	 6.548724
