#rc	 FE
4.800000	 11.911331
5.388691	 6.679801
5.977382	 2.504155
6.566074	 0.239530
7.154765	 0.068485
7.743456	 1.383733
8.332147	 2.632861
8.920839	 2.973939
9.509530	 3.715340
10.098221	 5.089227
10.686912	 6.136325
11.275604	 6.144091
11.864295	 6.118823
12.452986	 5.906899
13.041677	 5.425216
13.630369	 5.175425
14.219060	 5.159129
14.807751	 5.029209
15.396442	 5.002149
15.985134	 4.923111
16.573825	 4.991371
17.162516	 5.257727
17.751207	 5.676689
18.339899	 6.068004
18.928590	 6.282268
19.517281	 6.300621
20.105972	 6.181493
20.694664	 6.093845
21.283355	 5.999005
21.872046	 5.904465
22.460737	 5.973920
23.049429	 6.214066
23.638120	 6.553412
24.226811	 6.871407
24.815502	 7.101399
25.404194	 7.136244
25.992885	 7.061458
26.581576	 6.762832
27.170267	 6.146699
27.758959	 5.696560
28.347650	 5.324668
28.936341	 4.957669
29.525032	 4.669170
30.113724	 4.532545
30.702415	 4.714461
31.291106	 5.250651
31.879797	 6.185150
32.468489	 7.944077
33.057180	 11.664717
