#rc	 FE
1.590770	 10.609294
2.053753	 9.299533
2.516736	 11.167720
2.979718	 13.723653
3.442701	 15.731587
3.905684	 16.617715
4.368667	 14.948261
4.831650	 14.342008
5.294633	 14.022856
5.757615	 13.513111
6.220598	 12.640446
6.683581	 11.944274
7.146564	 11.544709
7.609547	 11.441536
8.072529	 10.924096
8.535512	 10.390678
8.998495	 9.989676
9.461478	 9.554432
9.924461	 9.521427
10.387444	 9.329677
10.850426	 9.474506
11.313409	 9.618473
11.776392	 9.342827
12.239375	 9.101541
12.702358	 8.649453
13.165340	 7.985473
13.628323	 7.490334
14.091306	 6.976817
14.554289	 6.742220
15.017272	 6.606054
15.480254	 6.271244
15.943237	 6.010595
16.406220	 5.417531
16.869203	 2.684340
17.332186	 0.611658
17.795169	 -0.205964
18.258151	 0.665300
18.721134	 2.096750
19.184117	 2.596515
19.647100	 3.798622
20.110083	 3.906521
20.573065	 3.949823
21.036048	 4.079062
21.499031	 4.168799
21.962014	 4.482635
22.424997	 4.799170
22.887980	 5.277762
23.350962	 5.950647
23.813945	 6.811709
