#ubdist	 FE
1.000000	 5.839606
1.451211	 1.217925
1.902422	 -0.332475
2.353633	 0.683037
2.804844	 2.970203
3.256054	 4.793395
3.707265	 4.183759
4.158476	 3.151632
4.609687	 3.444297
5.060898	 4.025860
5.512109	 4.389458
5.963320	 4.516687
6.414531	 4.898766
6.865741	 5.528035
7.316952	 5.676115
7.768163	 5.949876
8.219374	 6.534386
8.670585	 7.244014
9.121796	 7.721146
9.573007	 8.042023
10.024218	 8.201722
10.475428	 8.468138
10.926639	 8.685285
11.377850	 8.452632
11.829061	 8.204658
12.280272	 7.903445
12.731483	 7.472697
13.182694	 6.913784
13.633905	 6.608261
14.085115	 6.397277
14.536326	 6.231071
14.987537	 6.132901
15.438748	 6.131140
15.889959	 6.191674
16.341170	 6.079033
16.792381	 5.524496
17.243592	 4.857722
17.694802	 4.427864
18.146013	 4.220968
18.597224	 4.420261
19.048435	 5.510999
19.499646	 6.238679
19.950857	 6.488286
20.402068	 6.867534
20.853279	 7.326729
21.304489	 7.507927
21.755700	 7.640481
22.206911	 7.745145
22.658122	 8.014392
