#force pN 	 last_time fs 	 accelration factor 
-60.000000	 7850000.000000	 150985.388824 
-60.000000	 7482000.000000	 13942.193454 
-60.000000	 4362000.000000	 29577.126814 
-60.000000	 3816000.000000	 689911.597857 
-60.000000	 7181000.000000	 80169372.933812 
-60.000000	 6834000.000000	 7481908.301728 
-60.000000	 6349000.000000	 17196568.462622 
-60.000000	 4783000.000000	 86244.352152 
-60.000000	 4305000.000000	 5195.623127 
-60.000000	 3767000.000000	 2521.402145 
-60.000000	 6922000.000000	 575987.287009 
-60.000000	 13044000.000000	 14938097.562660 
-60.000000	 5140000.000000	 6938.785251 
-60.000000	 8953000.000000	 4401484.670428 
-60.000000	 7507000.000000	 7127905.482845 
-60.000000	 8342000.000000	 2413658.935200 
-60.000000	 6114000.000000	 26085.219174 
-60.000000	 7152000.000000	 16391599.376476 
-60.000000	 5127000.000000	 36545.308539 
-60.000000	 7619000.000000	 431677.256261 
