#force pN 	 last_time fs 	 accelration factor 
0.000000	 13824000.000000	 1417676.523894 
0.000000	 9701000.000000	 178180.790823 
0.000000	 13785000.000000	 3007898793.314354 
0.000000	 10726000.000000	 11349689.185954 
0.000000	 5796000.000000	 136972.012670 
0.000000	 14244000.000000	 1999109621.000545 
0.000000	 9922000.000000	 528110.795287 
0.000000	 17574000.000000	 96802362.257592 
0.000000	 19764000.000000	 33622424.713905 
0.000000	 10379000.000000	 106679.186768 
0.000000	 15738000.000000	 2152241.930473 
0.000000	 15478000.000000	 4329388.770568 
0.000000	 8476000.000000	 169520.278420 
0.000000	 9675000.000000	 14009.483562 
0.000000	 16392000.000000	 82331658.450225 
0.000000	 9548000.000000	 61881.236118 
0.000000	 4431000.000000	 38420.446567 
0.000000	 10907000.000000	 1534609.759886 
0.000000	 9891000.000000	 1185046.378946 
0.000000	 14896000.000000	 7007769.916516 
