#forces	rates	rates_bootstrap	bars
72.000000	31748.198399	33504.050894	7795.995681
69.000000	48456.570669	50945.564874	12178.867305
66.000000	22007.411495	23135.913037	5372.028365
63.000000	4193.439322	4411.914479	1039.879888
60.000000	25522.901043	26794.468559	6291.403281
57.000000	25960.246838	27400.073490	6402.800647
54.000000	16157.795781	16935.442463	3978.695706
51.000000	3592.593610	3774.151518	886.544189
48.000000	2600.806826	2727.275543	640.774335
45.000000	4346.671297	4559.721454	1077.959294
42.000000	659.531759	695.051936	164.043720
39.000000	1167.737204	1233.494147	287.740660
36.000000	748.918973	789.878013	186.721539
33.000000	1020.348596	1072.005802	253.522058
30.000000	94.070474	98.611490	23.723135
27.000000	24.413811	25.784930	6.162794
24.000000	85.923346	90.368061	21.056565
21.000000	21.617048	22.784921	5.387886
18.000000	138.415286	145.275076	34.140235
15.000000	3.241176	3.410519	0.802473
12.000000	27.006427	28.558532	6.876040
9.000000	62.790704	66.311829	15.646175
6.000000	1.792421	1.890182	0.447963
3.000000	7.006230	7.380504	1.761827
-0.000000	5.982062	6.300120	1.469016
