#forces	taus	taus_bootstrap	bars
72.000000	0.000031	0.000031	0.000007
69.000000	0.000021	0.000021	0.000005
66.000000	0.000045	0.000045	0.000010
63.000000	0.000238	0.000238	0.000053
60.000000	0.000039	0.000039	0.000009
57.000000	0.000039	0.000038	0.000009
54.000000	0.000062	0.000062	0.000014
51.000000	0.000278	0.000279	0.000063
48.000000	0.000384	0.000386	0.000085
45.000000	0.000230	0.000231	0.000052
42.000000	0.001516	0.001514	0.000337
39.000000	0.000856	0.000853	0.000191
36.000000	0.001335	0.001332	0.000297
33.000000	0.000980	0.000982	0.000220
30.000000	0.010630	0.010687	0.002404
27.000000	0.040960	0.040871	0.009209
24.000000	0.011638	0.011640	0.002594
21.000000	0.046260	0.046238	0.010456
18.000000	0.007225	0.007242	0.001608
15.000000	0.308530	0.308706	0.069487
12.000000	0.037028	0.036922	0.008373
9.000000	0.015926	0.015868	0.003520
6.000000	0.557905	0.556947	0.124195
3.000000	0.142730	0.142814	0.032340
-0.000000	0.167166	0.166974	0.037220
