#Forces	 height	 dx
3.309120	4.196462	4.452342
3.143664	4.106558	3.448831
2.978208	5.430150	5.441460
2.812752	6.060186	3.983203
2.647296	5.977125	4.446602
2.481840	7.942146	5.969592
2.316384	7.809115	5.962772
2.150928	7.771416	6.486745
1.985472	8.649829	6.000580
1.820016	9.651841	5.481774
1.654560	10.383037	5.983096
1.489104	10.843284	6.037926
1.323648	11.587602	6.592380
1.158192	11.720705	7.075687
0.992736	12.722036	6.599161
0.827280	13.334761	7.135827
0.661824	14.227237	6.568832
0.496368	15.557081	7.595571
0.330912	16.279309	7.072768
0.165456	17.082575	7.066262
-0.000000	17.346593	7.599443
