#force	 height	 dx	 
0.000000	 15.820312	 7.500000
0.165456	 15.076993	 7.366253
0.330912	 14.347092	 7.231601
0.496368	 13.630707	 7.095927
0.661824	 12.927945	 6.959108
0.827280	 12.238928	 6.821014
0.992736	 11.563789	 6.681509
1.158192	 10.902678	 6.540449
1.323648	 10.255756	 6.397678
1.489104	 9.623205	 6.253028
1.654560	 9.005219	 6.106316
1.820016	 8.402017	 5.957344
1.985472	 7.813833	 5.805892
2.150928	 7.240929	 5.651716
2.316384	 6.683590	 5.494543
2.481840	 6.142131	 5.334068
2.647296	 5.616898	 5.169941
2.812752	 5.108277	 5.001763
2.978208	 4.616696	 4.829070
3.143664	 4.142632	 4.651320
3.309120	 3.686622	 4.467871
