#force	 last_time	 alpha	 product
-1.8 276.800000 2.011620 0.000557 
-1.8 159.200000 1.592058 0.000253 
-1.8 224.400000 1.670385 0.000375 
-1.8 56.200000 1.083721 0.000061 
-1.8 120.400000 1.332744 0.000160 
-1.8 299.400000 2.116766 0.000634 
-1.8 11.200000 1.006276 0.000011 
-1.8 186.200000 1.739697 0.000324 
-1.8 23.400000 1.027670 0.000024 
-1.8 282.600000 2.004943 0.000567 
-1.8 8.400000 1.000000 0.000008 
-1.8 270.200000 1.835823 0.000496 
-1.8 230.400000 1.704245 0.000393 
-1.8 130.400000 1.494611 0.000195 
-1.8 140.600000 1.466491 0.000206 
-1.8 175.400000 1.524984 0.000267 
-1.8 305.800000 2.086687 0.000638 
-1.8 224.000000 1.732735 0.000388 
-1.8 101.600000 1.311103 0.000133 
-1.8 77.200000 1.197084 0.000092 
