#force	 last_time	 alpha	 product
0.0 1170.200000 12.633495 0.014784 
0.0 778.600000 7.134763 0.005555 
0.0 1145.200000 13.065057 0.014962 
0.0 1674.800000 26.179505 0.043845 
0.0 1408.400000 21.943766 0.030906 
0.0 1515.200000 22.808986 0.034560 
0.0 1551.200000 24.954920 0.038710 
0.0 1406.400000 20.553593 0.028907 
0.0 1563.200000 25.330803 0.039597 
0.0 2404.000000 72.934667 0.175335 
0.0 1526.400000 24.786366 0.037834 
0.0 1983.400000 44.295203 0.087855 
0.0 1261.200000 15.765573 0.019884 
0.0 1620.800000 28.796845 0.046674 
0.0 2163.400000 51.747116 0.111950 
0.0 1369.800000 17.910993 0.024534 
0.0 1628.600000 24.649865 0.040145 
0.0 1455.200000 21.479612 0.031257 
0.0 1592.400000 28.632268 0.045594 
0.0 2021.400000 42.267044 0.085439 
