#forces	rates	rates_bootstrap	bars
3.309120	5305.045328	5568.165030	1278.259670
3.143664	3161.711432	3320.224591	783.969459
2.978208	3066.167516	3221.575852	753.827198
2.812752	2476.428537	2608.316774	612.996646
2.647296	1786.163614	1882.607295	447.958117
2.481840	2499.028755	2636.658756	632.534949
2.316384	945.346766	992.992177	232.935109
2.150928	807.449792	848.844200	199.312186
1.985472	647.503522	681.155457	158.870089
1.820016	362.623265	382.411796	90.220313
1.654560	411.915151	434.328846	102.027551
1.489104	262.656525	276.832078	64.198904
1.323648	147.297237	155.425781	36.374442
1.158192	161.888659	170.959922	40.994348
0.992736	121.547547	127.919873	30.206027
0.827280	108.612080	114.109806	26.652679
0.661824	68.565352	72.235047	16.923092
0.496368	58.540672	61.451728	14.497686
0.330912	34.599752	36.443526	8.629358
0.165456	27.394342	28.852684	6.668934
-0.000000	18.306167	19.223497	4.529602
