#forces	taus	taus_bootstrap	bars
3.309120	0.000188	0.000189	0.000042
3.143664	0.000316	0.000317	0.000070
2.978208	0.000326	0.000327	0.000073
2.812752	0.000404	0.000403	0.000090
2.647296	0.000560	0.000560	0.000126
2.481840	0.000400	0.000400	0.000090
2.316384	0.001058	0.001059	0.000235
2.150928	0.001238	0.001239	0.000274
1.985472	0.001544	0.001543	0.000341
1.820016	0.002758	0.002753	0.000619
1.654560	0.002428	0.002423	0.000543
1.489104	0.003807	0.003798	0.000841
1.323648	0.006789	0.006770	0.001512
1.158192	0.006177	0.006165	0.001391
0.992736	0.008227	0.008232	0.001851
0.827280	0.009207	0.009215	0.002035
0.661824	0.014585	0.014567	0.003248
0.496368	0.017082	0.017128	0.003827
0.330912	0.028902	0.028890	0.006464
0.165456	0.036504	0.036434	0.008095
-0.000000	0.054626	0.054753	0.012255
